         SO2tota         alcohol         sulfate         SO2free         target
     -7.6984e-01      5.6579e-01      2.9756e+00     -1.5583e+00               0
      1.4628e-01     -2.7138e-01     -1.1658e+00      1.1438e+00               0
      1.6814e+00     -1.2608e+00     -3.5377e-01     -1.7585e-01               0
     -7.6563e-02     -1.5652e+00     -5.1618e-01      1.3835e-01               0
     -1.2608e-01      1.1746e+00     -1.1658e+00     -3.6437e-01               0
      8.1479e-01     -3.4748e-01     -5.1618e-01      4.5255e-01               0
      6.9099e-01     -7.2801e-01     -7.5979e-01     -1.7585e-01               0
      1.7804e+00     -9.5633e-01     -6.7858e-01      1.4580e+00               0
     -5.7176e-01      1.2507e+00      7.8307e-01     -3.0153e-01               1
     -7.9460e-01     -3.4748e-01     -5.9738e-01     -2.3869e-01               0
     -1.2608e-01     -3.4748e-01      1.5139e+00     -6.7857e-01               0
     -1.1412e+00      8.7021e-01     -1.1658e+00     -6.7857e-01               0
     -1.7560e-01      1.8526e-01     -1.2470e+00     -6.1573e-01               1
      1.2605e+00     -1.5652e+00      2.4071e+00      1.5837e+00               0
     -6.7080e-01     -1.2608e+00     -5.1618e-01      7.5512e-02               0
     -1.2608e-01     -4.9970e-01      1.0267e+00     -4.9005e-01               0
      1.4585e+00     -1.4130e+00     -1.1016e-01      8.9243e-01               1
      8.1479e-01     -8.0412e-01      3.7706e-01     -9.2993e-01               0
     -6.4604e-01      1.7835e+00     -7.5979e-01     -4.2721e-01               0
     -4.7272e-01      1.0915e-01      7.8307e-01      3.8971e-01               1
     -3.4892e-01     -2.7138e-01     -1.2470e+00     -6.1573e-01               0
      4.4339e-01     -1.1846e+00     -5.9738e-01      1.0495e+00               0
     -7.2032e-01     -1.1085e+00      3.7706e-01     -4.9005e-01               0
     -6.7080e-01      4.8968e-01     -5.1618e-01      5.1539e-01               1
     -4.7272e-01      1.0915e-01     -7.5979e-01     -3.0153e-01               0
     -7.4508e-01      4.1358e-01      2.1465e-01     -1.1184e+00               1
     -8.1936e-01      1.4791e+00     -1.4094e+00     -2.3869e-01               1
      9.6335e-01     -1.3369e+00      4.5826e-01     -1.1301e-01               0
      6.6623e-01     -1.1085e+00      5.2246e-02      3.0290e+00               0
      3.4435e-01      1.0915e-01     -7.5979e-01      5.1539e-01               1
      1.1119e+00     -8.8023e-01      2.9586e-01      6.4107e-01               0
      4.1863e-01      2.6136e-01     -1.9136e-01     -1.0556e+00               0
      1.2152e-01      2.6136e-01     -1.7342e+00      2.0119e-01               0
     -1.7560e-01     -9.5633e-01     -8.4099e-01      3.2687e-01               0
     -6.9556e-01      1.8526e-01     -4.3497e-01      1.2672e-02               1
     -5.4700e-01      7.9411e-01      2.9586e-01      4.5255e-01               1
     -2.7464e-01      1.2507e+00      1.7575e+00     -1.0556e+00               0
      8.6431e-01      9.4632e-01     -1.1016e-01     -5.5289e-01               1
      1.9580e-01     -4.9970e-01      2.8944e+00      8.9243e-01               1
     -8.6888e-01      6.4189e-01     -8.4099e-01     -1.1813e+00               0
     -1.2650e+00      2.6136e-01     -1.0846e+00     -2.0610e+00               0
     -1.4879e+00      1.5552e+00     -1.4094e+00     -8.6709e-01               1
     -8.4412e-01     -1.1846e+00      5.2246e-02      7.5512e-02               0
     -3.4892e-01      9.4632e-01     -1.3282e+00      5.1539e-01               1
     -6.9556e-01     -1.9527e-01      1.3515e+00     -5.5289e-01               0
      4.6815e-01      8.7021e-01     -1.1658e+00      7.5512e-02               1
     -4.7272e-01      1.1746e+00      3.7706e-01      3.2687e-01               1
      6.4147e-01     -6.5191e-01     -1.9136e-01      8.9243e-01               0
      9.3859e-01     -1.4130e+00      2.1465e-01     -9.9277e-01               1
     -1.0917e+00      7.1800e-01      9.4548e-01     -4.2721e-01               0
     -9.4316e-01     -6.5191e-01     -1.0846e+00     -5.0168e-02               0
     -1.0917e+00      8.7021e-01     -1.3282e+00     -9.2993e-01               1
     -1.0174e+00      1.3268e+00      1.0267e+00      7.5512e-02               1
     -7.4508e-01      4.1358e-01     -3.5377e-01      4.5255e-01               0
     -1.3393e+00      1.1746e+00      8.6428e-01     -6.1573e-01               1
      1.5823e+00      3.3047e-02     -5.1618e-01      2.3377e+00               0
     -3.7368e-01     -1.1085e+00     -1.0846e+00     -8.0425e-01               0
      8.3955e-01     -1.2608e+00     -8.4099e-01      1.2672e-02               0
     -5.7176e-01      1.2507e+00      7.8307e-01     -3.0153e-01               1
      4.6815e-01      1.0915e-01      1.1079e+00      2.1492e+00               1
     -2.2512e-01      1.3268e+00     -1.2470e+00     -6.7857e-01               1
      1.4833e+00     -1.2608e+00      5.2246e-02      2.6403e-01               0
      5.9195e-01      4.1358e-01     -1.9136e-01     -6.1573e-01               1
     -2.2512e-01      1.4791e+00      1.2703e+00      1.2672e-02               1
      1.0129e+00     -1.3369e+00      3.7706e-01     -8.6709e-01               0
      1.5328e+00     -1.3369e+00     -4.3497e-01      4.2113e-01               1
      2.4532e-01     -5.7580e-01     -7.5979e-01     -1.7585e-01               0
      7.4051e-01      1.0224e+00     -1.1658e+00      7.0391e-01               1
     -4.9748e-01      1.4030e+00     -1.1016e-01      7.5512e-02               1
      1.2852e+00     -1.1085e+00      5.2246e-02      8.2959e-01               0
      2.7008e-01      1.4791e+00     -8.4099e-01      1.3835e-01               1
      1.9785e+00     -7.2801e-01      1.3345e-01      3.2175e+00               0
      1.1614e+00      1.3268e+00      2.0823e+00      1.7094e+00               1
     -2.7043e-02     -9.5633e-01     -1.1016e-01     -5.0168e-02               1
      2.4532e-01      3.3747e-01     -1.1016e-01     -1.4326e+00               1
      2.4532e-01      2.6136e-01     -5.1618e-01      7.0391e-01               1
      5.1767e-01      1.0224e+00     -2.8957e-02     -3.6437e-01               1
      5.6719e-01     -1.4130e+00     -1.0846e+00     -1.0556e+00               0
      1.2605e+00      4.5163e-01     -4.3497e-01      1.0810e+00               0
      2.4532e-01     -6.5191e-01      1.2703e+00      1.3835e-01               0
      9.6756e-02      9.4632e-01      3.7876e+00     -3.0153e-01               0
     -1.5622e+00      1.0224e+00     -6.7858e-01     -1.6840e+00               0
     -3.2416e-01      2.3923e+00      2.4071e+00     -1.4326e+00               1
     -8.6888e-01      1.8526e-01     -1.0034e+00     -8.0425e-01               1
     -1.6364e+00     -2.7138e-01     -1.9136e-01     -1.5583e+00               0
      1.4338e+00     -1.4130e+00      2.9586e-01      9.5527e-01               0
      8.6431e-01     -1.5652e+00      1.4327e+00      7.6675e-01               0
      7.4051e-01     -3.4748e-01      2.6507e+00      2.2435e+00               1
     -3.7368e-01     -6.5191e-01      5.3946e-01      8.2959e-01               1
     -3.7368e-01      1.0915e-01      5.2246e-02     -3.6437e-01               1
     -1.2650e+00      1.2507e+00     -1.0846e+00     -8.0425e-01               0
      2.4532e-01      1.0915e-01      3.7706e-01      1.1438e+00               1
      1.5576e+00     -6.5191e-01      2.3259e+00      1.5837e+00               0
      4.7236e-02     -1.0324e+00     -4.3497e-01      1.3952e+00               0
     -1.2155e+00     -8.0412e-01     -3.5377e-01     -1.1813e+00               1
     -4.4796e-01     -4.3059e-02     -8.4099e-01     -6.7857e-01               1
     -3.2416e-01     -1.1085e+00      3.7706e-01     -7.4141e-01               0
     -1.0422e+00     -4.3059e-02      1.1891e+00     -1.0556e+00               0
      8.3955e-01      3.3747e-01     -5.1618e-01      3.8971e-01               1
      9.6335e-01      4.8968e-01     -1.8154e+00      8.9243e-01               0
     -5.2224e-01     -5.7580e-01     -2.7257e-01     -1.5583e+00               0
      2.2477e-02     -3.4748e-01     -2.7257e-01     -1.1301e-01               0
     -7.6563e-02      3.3047e-02      7.8307e-01     -8.0425e-01               0
      4.9291e-01     -2.7138e-01     -5.9738e-01      1.7094e+00               0
      8.6431e-01     -9.5633e-01      2.1465e-01      3.2687e-01               1
     -3.4892e-01      1.0915e-01      5.2246e-02      4.5255e-01               0
     -4.9748e-01      1.5552e+00      1.2703e+00     -3.6437e-01               1
     -1.1165e+00      1.0985e+00     -5.9738e-01     -3.0153e-01               0
      3.4435e-01     -8.8023e-01      7.0187e-01     -1.1301e-01               0
      2.2477e-02      1.6313e+00     -2.7257e-01     -3.6437e-01               1
     -5.2224e-01     -1.3369e+00      4.5826e-01     -5.5289e-01               0
      1.9580e-01     -1.1846e+00     -2.8957e-02     -1.7585e-01               0
     -4.9748e-01      1.0224e+00      4.5826e-01     -5.0168e-02               0
     -1.2608e-01      3.3747e-01     -1.0846e+00     -2.3869e-01               1
     -9.4316e-01      3.3747e-01     -7.5979e-01     -4.9005e-01               0
     -2.2833e-03      8.7021e-01      7.8307e-01     -6.1573e-01               1
      9.1383e-01     -1.1085e+00     -8.4099e-01      1.3952e+00               0
     -1.5084e-01     -4.3059e-02     -1.0034e+00      5.1539e-01               0
      2.2477e-02     -1.9527e-01     -9.2219e-01      1.1438e+00               0
     -1.3888e+00      1.4791e+00      4.5826e-01     -1.4955e+00               1
     -3.2416e-01      1.0224e+00     -1.0034e+00      2.6403e-01               0
     -5.1803e-02     -3.4748e-01     -3.5377e-01      7.5512e-02               0
      1.6566e+00     -2.7138e-01     -4.3497e-01     -1.3698e+00               0
     -3.9844e-01      8.2455e-01     -8.4099e-01     -7.4141e-01               1
      1.1614e+00     -1.2608e+00     -5.9738e-01      1.2066e+00               0
     -1.9336e+00      4.8968e-01      1.5139e+00     -1.3070e+00               1
      4.7236e-02     -9.5633e-01      5.2246e-02     -1.1301e-01               0
      3.1959e-01      2.6136e-01      1.8387e+00      1.7722e+00               1
     -3.2416e-01      1.4030e+00     -6.7858e-01     -9.9277e-01               1
     -2.7464e-01     -1.0324e+00     -7.5979e-01     -8.6709e-01               0
      1.6566e+00     -1.4891e+00     -2.7257e-01      1.2672e-02               1
     -9.6792e-01      2.1640e+00      2.1465e-01     -4.2721e-01               1
      4.1863e-01      4.8968e-01     -1.4906e+00      1.3835e-01               1
     -1.2155e+00     -4.3059e-02      1.3515e+00     -8.0425e-01               0
      1.1367e+00     -9.5633e-01      5.3946e-01      5.7823e-01               0
     -2.0036e-01     -2.7138e-01     -1.1016e-01     -6.7857e-01               0
      3.1959e-01      5.6579e-01     -1.0034e+00      8.9243e-01               0
     -2.2512e-01      1.1746e+00     -5.9738e-01      2.0119e-01               1
      1.1862e+00     -4.9970e-01     -1.1658e+00      2.0235e+00               0
      6.9099e-01     -1.0324e+00     -4.3497e-01     -2.3869e-01               0
     -9.4316e-01     -4.9970e-01     -1.3282e+00     -1.2441e+00               0
